avg_r2,median_r2,adf_stat,adf_p_value,residual_obs,asset,trades,active_days
0.5346050507957472,0.5340049655586215,-13.935338197738941,5.003047239020564e-26,411.0,MSTR,44,56
0.39902769516529374,0.4158479229058065,-22.02476808531186,0.0,411.0,COIN,32,50
0.40805294992367086,0.4354519103588219,-19.01504712786013,0.0,411.0,MARA,46,41
0.3995551423922349,0.40758474362296315,-9.591126835741193,2.034719969220507e-16,411.0,RIOT,38,50
0.36381548554088766,0.3626858929709087,-6.443278060355946,1.5885791208294498e-08,411.0,CLSK,44,57
0.2784224232330368,0.26699350345588546,-20.353287888720583,0.0,411.0,HOOD,30,38
0.4882863852958895,0.5227660581814756,-22.385838999544724,0.0,640.0,SOL,60,86
0.4446139885664394,0.4583759879049903,-10.997253562755512,6.821834045918165e-20,640.0,BNB,54,86
0.48512729415632505,0.49994225235770845,-21.886959831657514,0.0,640.0,ADA,52,94
0.29701106991001325,0.27509675763402985,-25.00817345557794,0.0,640.0,XRP,48,94
0.497228969040302,0.5177322642957429,-10.417019569250428,1.7437207517707867e-18,640.0,DOGE,50,100
0.46721018470781644,0.4753418325521119,-8.923968291471423,1.0231350553735538e-14,640.0,AVAX,58,94
0.49660789217025714,0.43514199900499073,-12.597789683295913,1.763171283202232e-23,640.0,LINK,60,92
0.4073053562944464,0.44261331423009553,-8.006731793718883,2.257226561414477e-12,640.0,LTC,54,96
0.4468820725034995,0.46809732726412007,-16.473863219452806,2.2699027889139748e-29,640.0,BCH,48,68
0.4787152053386034,0.47824162243393825,-15.820032529987932,1.0227183049770433e-28,640.0,DOT,58,103
0.495453976300036,0.4734412333591985,-15.8610669199868,9.210722597918111e-29,640.0,AAVE,61,113
0.6127621269672417,0.6221465657675954,-23.025016444329474,0.0,559.0,ARB,48,53
0.49164094791996804,0.4876252242544034,-6.663142193475641,4.790791492595176e-09,640.0,OP,56,74
0.4686492720624719,0.495840285753368,-16.4498934956529,2.3838684775920622e-29,640.0,UNI,52,70
,,,,0.0,NVDA,0,0
,,,,0.0,TSLA,0,0
,,,,0.0,AMD,0,0
,,,,0.0,META,0,0
,,,,0.0,MSFT,0,0
,,,,0.0,AAPL,0,0
,,,,0.0,GOOGL,0,0
,,,,0.0,AMZN,0,0
